시도,구시,동,단지,거래수,제곱미터당,금액중간,면적중간,건축년도,최근연
경기,가평군,가평읍 달전리,세대넥스빌,11,1635590,145000000,84.8,1996,2026
경기,가평군,가평읍 달전리,신초,4,1559224,102500000,65.6,1993,2026
경기,가평군,가평읍 달전리,유성,4,1224264,71950000,58.8,1993,2026
경기,가평군,가평읍 대곡리,e편한세상가평퍼스트원,46,4452434,320000000,74.8,2023,2026
경기,가평군,가평읍 대곡리,가평자이,31,4824795,295000000,60.0,2023,2026
경기,가평군,가평읍 대곡리,삼성웰타운아파트,2,2410329,200000000,83.0,2019,2026
경기,가평군,가평읍 대곡리,삼익,1,1335492,99000000,74.1,2002,2024
경기,가평군,가평읍 대곡리,썬힐,18,2391279,168500000,74.5,2008,2026
경기,가평군,가평읍 대곡리,우림필유1단지,20,2932862,237500000,84.9,2006,2026
경기,가평군,가평읍 대곡리,우림필유2단지,1,2295082,280000000,122.0,2006,2026
경기,가평군,가평읍 대곡리,태광,7,1107772,70000000,59.5,1992,2025
경기,가평군,가평읍 읍내리,J정동,1,1908424,133000000,69.7,2010,2024
경기,가평군,가평읍 읍내리,가평블루핀,21,2928058,190000000,63.2,2019,2026
경기,가평군,가평읍 읍내리,가평센트럴파크더스카이,22,3719454,234500000,60.0,2022,2026
경기,가평군,가평읍 읍내리,가평코아루,25,3209318,272000000,84.8,2021,2026
경기,가평군,가평읍 읍내리,송안,2,1016961,69000000,67.2,2009,2026
경기,가평군,가평읍 읍내리,에덴,5,967541,62000000,64.1,1991,2026
경기,가평군,가평읍 읍내리,에이원파란채,27,2059138,175000000,85.0,2007,2026
경기,가평군,가평읍 읍내리,에코,2,1785485,132500000,74.0,2014,2026
경기,가평군,가평읍 읍내리,에코아파트2차,1,2058601,163000000,79.2,2016,2026
경기,가평군,가평읍 읍내리,정명힐탑빌라라동,2,894166,61000000,68.2,1991,2026
경기,가평군,가평읍 읍내리,제이정동101동,2,1500509,88500000,59.0,2012,2026
경기,가평군,가평읍 읍내리,준수아파트A동,16,1406048,108500000,85.0,1992,2026
경기,가평군,가평읍 읍내리,준수아파트B동,9,1205394,100000000,83.8,1992,2025
경기,가평군,가평읍 읍내리,중앙,6,1416431,105000000,84.1,1990,2026
경기,가평군,가평읍 읍내리,형진타워,10,1344086,90000000,59.9,1991,2026
경기,가평군,가평읍 읍내리,효신(101동),2,2059550,175000000,85.0,2004,2026
경기,가평군,가평읍 읍내리,힐스테이트가평더뉴클래스,25,4833760,367000000,85.0,2023,2026
경기,가평군,상면 덕현리,청향,3,1413449,235000000,166.3,2011,2026
경기,가평군,설악면 선촌리,북한강코아루,23,3366804,255000000,84.1,2014,2026
경기,가평군,설악면 신천리,디엘본가평설악아파트,28,4141504,340000000,84.9,2025,2026
경기,가평군,설악면 신천리,어젤리아(102동),4,3917973,235000000,60.0,2019,2026
경기,가평군,조종면 현리,임성,3,1142473,68000000,59.5,1994,2026
경기,가평군,조종면 현리,청수1동,2,1875702,180000000,95.9,1998,2026
경기,가평군,청평면 청평리,경남아너스빌,16,2579821,229500000,84.9,2008,2026
경기,가평군,청평면 청평리,로얄,6,2191845,186000000,84.9,2007,2026
경기,가평군,청평면 청평리,이안지안스청평,22,2954017,200500000,70.3,2018,2026
경기,가평군,청평면 청평리,청구,35,2172823,150000000,59.8,1998,2026
경기,가평군,청평면 청평리,청수,10,1438702,105500000,73.3,1992,2026
경기,가평군,청평면 청평리,청일덱스빌(1동),2,1636835,139000000,84.9,2004,2026
경기,가평군,청평면 청평리,청일덱스빌(6동),1,1654455,140000000,84.6,2004,2025
경기,가평군,청평면 청평리,청일덱스빌7동,1,1914975,150000000,78.3,2004,2026
경기,가평군,청평면 청평리,청평삼성쉐르빌,44,2958544,231500000,84.3,2012,2026
경기,가평군,청평면 청평리,청평세양청마루,23,2588540,228000000,85.0,2007,2026
경기,과천시,갈현동,과천르센토데시앙,14,21918414,1950000000,84.6,2023,2026
경기,과천시,갈현동,과천린파밀리에,2,17649135,1500000000,85.0,2024,2026
경기,과천시,갈현동,과천센트레빌아스테리움,10,19358018,1737500000,84.8,2020,2026
경기,과천시,갈현동,과천수자인아파트(13단지),1,22173369,1875000000,84.6,2024,2025
경기,과천시,갈현동,과천푸르지오라비엔오,21,21684995,1880000000,84.9,2021,2026
경기,과천시,갈현동,과천푸르지오벨라르테,15,19064139,1640000000,85.0,2022,2026
경기,과천시,갈현동,과천푸르지오오르투스,29,22008040,1650000000,75.0,2023,2026
경기,과천시,별양동,과천자이,142,28023215,2095000000,84.9,2022,2026
경기,과천시,별양동,과천타워,7,12479921,1025000000,84.6,1997,2026
경기,과천시,별양동,래미안센트럴스위트,51,26680007,1940000000,72.8,2018,2026
경기,과천시,별양동,래미안슈르,24,19332400,1632500000,84.9,2008,2026
경기,과천시,별양동,주공5,47,21709765,2490000000,124.0,1983,2025
경기,과천시,부림동,센트럴파크푸르지오써밋,108,26363817,2100000000,85.0,2020,2026
경기,과천시,부림동,주공8,38,26088743,2060000000,73.0,1983,2026
경기,과천시,부림동,주공9,32,30576576,1700000000,54.5,1982,2026
경기,과천시,원문동,과천위버필드,180,28481272,2100000000,60.0,2021,2026
경기,과천시,원문동,래미안슈르,270,22720316,1775000000,84.9,2008,2026
경기,과천시,중앙동,과천푸르지오써밋,125,28845112,2410000000,84.9,2020,2026
경기,과천시,중앙동,래미안에코팰리스,62,22611337,1845000000,84.9,2007,2026
경기,과천시,중앙동,주공10,19,25648333,3000000000,124.4,1984,2026
경기,광명시,광명동,광명(308-2),1,4348371,347000000,79.8,2004,2024
경기,광명시,광명동,광명동리버빌A동,2,4918424,358000000,73.1,2004,2025
경기,광명시,광명동,광명리버빌B동,1,4595588,275000000,59.8,2004,2025
경기,광명시,광명동,광명센트럴아이파크,1,19073113,941220000,49.3,2025,2026
경기,광명시,광명동,광명신원,19,6837892,420000000,60.0,1998,2026
경기,광명시,광명동,광명아크포레자이위브,467,13569399,810000000,60.0,2021,2026
경기,광명시,광명동,광명제일풍경채,29,8417707,667000000,84.9,2010,2026
경기,광명시,광명동,광명푸르지오센트베르,210,14260094,850000000,59.4,2022,2026
경기,광명시,광명동,광명푸르지오포레나,141,15006178,1075000000,60.0,2023,2026
경기,광명시,광명동,광명한진타운,150,9994114,750000000,85.0,1997,2026
경기,광명시,광명동,광명해모로이연,144,9649329,892500000,85.0,2015,2026
경기,광명시,광명동,광명현대,10,6328735,422500000,72.4,1999,2026
경기,광명시,광명동,금반석시티1차(158-854),1,10333610,810000000,78.4,2003,2025
경기,광명시,광명동,금반석시티2차,3,7074384,583000000,82.4,2003,2026
경기,광명시,광명동,더프라임타워,6,6948208,461500000,66.4,2015,2026
경기,광명시,광명동,상우1차,12,6061121,367500000,59.4,1995,2026
경기,광명시,광명동,상우2차,5,5661642,338000000,59.7,1995,2026
경기,광명시,광명동,상우3차,10,6672749,423500000,67.6,1997,2026
경기,광명시,광명동,성원아파트,6,7891395,405000000,52.8,2022,2026
경기,광명시,광명동,영화,11,4848485,389000000,82.5,1995,2026
경기,광명시,광명동,영화아이닉스,36,7420294,557500000,79.0,2005,2026
경기,광명시,광명동,우림아파트,2,6506072,487500000,74.9,2019,2026
경기,광명시,광명동,우림아파트2차,4,6520654,530000000,81.3,2022,2026
경기,광명시,광명동,월드메르디앙,75,8935518,690000000,84.8,2007,2026
경기,광명시,광명동,유자인,1,6207644,458000000,73.8,2010,2026
경기,광명시,광명동,이성,1,5251977,445000000,84.7,2006,2026
경기,광명시,광명동,중앙하이츠1,78,6332979,411000000,56.5,1993,2026
경기,광명시,광명동,중앙하이츠2,34,5896922,472500000,84.8,1993,2026
경기,광명시,광명동,중앙하이츠3,11,6165521,495000000,84.3,1999,2026
경기,광명시,광명동,트리우스광명(2단지),1,14600259,1240000000,84.9,2024,2025
경기,광명시,광명동,팰리스필,11,7799228,507000000,64.8,2004,2026
경기,광명시,광명동,팰리스필2차(782),32,6887631,557500000,84.9,2007,2026
경기,광명시,광명동,팰리스필3차,8,8231872,492500000,59.6,2022,2026
경기,광명시,광명동,현진에버빌,85,9781398,678000000,59.8,2005,2026
경기,광명시,광명동,호반써밋그랜드에비뉴,6,17208876,1031500000,59.9,2024,2026
경기,광명시,소하동,개운고층,5,4965243,400000000,80.6,1990,2026
경기,광명시,소하동,개운저층,4,4823428,258500000,52.6,1988,2026
경기,광명시,소하동,광명삼익,22,7355027,492500000,59.9,1998,2026
경기,광명시,소하동,광명소하휴먼시아2단지,41,8240748,989000000,119.8,2010,2026
