시도,구시,동,지번,거래수,제곱미터당,금액중간,면적중간,건축년도,용도,용도지역,최근연
경기,가평군,가평읍 금대리,1**,3,2244215,1475100000,657.3,2012,숙박,계획관리,2025
경기,가평군,가평읍 금대리,2**,1,3308049,477550000,144.4,2010,제2종근린생활,계획관리,2024
경기,가평군,가평읍 금대리,6**,2,2364156,100000000,44.1,2008,제2종근린생활,계획관리,2026
경기,가평군,가평읍 달전리,1**,1,4282735,1150000000,268.5,2022,숙박,자연녹지,2025
경기,가평군,가평읍 달전리,2**,3,1441208,189000000,131.1,2003,제2종근린생활,제2종일반주거,2026
경기,가평군,가평읍 대곡리,1**,1,1117880,400000000,357.8,1989,제1종근린생활,일반상업,2025
경기,가평군,가평읍 대곡리,185,1,1596639,57000000,35.7,2017,제1종근린생활,제2종일반주거,2025
경기,가평군,가평읍 대곡리,2**,1,1056567,650000000,615.2,1989,제1종근린생활,일반상업,2026
경기,가평군,가평읍 대곡리,3**,1,2425577,1155860000,476.5,2011,제2종근린생활,자연녹지,2024
경기,가평군,가평읍 두밀리,1**,1,837240,50000000,59.7,2020,제2종근린생활,계획관리,2026
경기,가평군,가평읍 두밀리,4**,1,2407019,321000000,133.4,,업무,계획관리,2026
경기,가평군,가평읍 두밀리,6*,1,1217285,160000000,131.4,2006,제2종근린생활,계획관리,2024
경기,가평군,가평읍 복장리,4**,1,2447765,280930000,114.8,2016,제2종근린생활,계획관리,2025
경기,가평군,가평읍 산유리,1**,1,1089753,216000000,198.2,1996,제2종근린생활,계획관리,2025
경기,가평군,가평읍 산유리,3**,8,2063204,133705000,63.5,2022,숙박,계획관리,2026
경기,가평군,가평읍 상색리,4**,2,3022568,198885000,65.8,2006,제2종근린생활,계획관리,2025
경기,가평군,가평읍 승안리,1*,1,400080,80000000,200.0,1975,제2종근린생활,제2종일반주거,2024
경기,가평군,가평읍 승안리,4**,1,4761905,250000000,52.5,,제2종근린생활,자연환경보전,2024
경기,가평군,가평읍 승안리,5*,1,1030715,100000000,97.0,2014,제2종근린생활,제2종일반주거,2026
경기,가평군,가평읍 읍내리,4**,7,2958580,277410000,100.8,1999,제1종근린생활,일반상업,2026
경기,가평군,가평읍 읍내리,575-6,3,2009511,213000000,105.8,2021,제2종근린생활,제2종일반주거,2025
경기,가평군,가평읍 하색리,6**,3,361009,98180000,272.0,2000,기타,계획관리,2025
경기,가평군,가평읍 하색리,7**,1,1075847,400000000,371.8,2017,제1종근린생활,계획관리,2024
경기,가평군,북면 도대리,3**,1,935126,32000000,34.2,,제2종근린생활,계획관리,2025
경기,가평군,북면 도대리,7*,2,916742,80000000,109.4,2009,제1종근린생활,계획관리,2025
경기,가평군,북면 목동리,4**,1,2712639,967490000,356.7,2018,숙박,계획관리,2024
경기,가평군,북면 목동리,5**,1,3753049,800000000,213.2,2022,숙박,계획관리,2026
경기,가평군,북면 목동리,6**,1,2542299,586610000,230.7,2019,제2종근린생활,생산관리,2024
경기,가평군,북면 목동리,7**,1,2261307,297000000,131.3,2011,제2종근린생활,자연녹지,2026
경기,가평군,북면 백둔리,1**,4,1131546,1209330000,366.8,1994,숙박,계획관리,2025
경기,가평군,북면 백둔리,2**,1,1463415,120000000,82.0,2011,제2종근린생활,보전관리,2025
경기,가평군,북면 백둔리,3**,1,976143,250000000,256.1,2006,숙박,계획관리,2024
경기,가평군,북면 백둔리,4**,1,939650,264690000,281.7,,숙박,계획관리,2026
경기,가평군,북면 백둔리,5**,1,1377991,220010000,159.7,2004,제1종근린생활,계획관리,2026
경기,가평군,북면 백둔리,7**,1,1058177,208990000,197.5,2003,제2종근린생활,보전관리,2024
경기,가평군,북면 백둔리,9*,1,1124797,602700000,535.8,2009,숙박,계획관리,2025
경기,가평군,북면 이곡리,4**,1,2363636,260000000,110.0,2017,제2종근린생활,계획관리,2026
경기,가평군,북면 제령리,1**,1,1655226,340000000,205.4,2013,숙박,계획관리,2026
경기,가평군,북면 제령리,9*,1,1729560,66000000,38.2,2013,제1종근린생활,보전관리,2024
경기,가평군,북면 화악리,4**,1,2520479,120000000,47.6,2022,제2종근린생활,보전관리,2024
경기,가평군,북면 화악리,7**,2,5215964,695500000,160.9,2014,숙박,계획관리,2024
경기,가평군,북면 화악리,9*,1,4490000,121230000,27.0,2023,제1종근린생활,보전관리,2026
경기,가평군,상면 덕현리,2*,1,1568830,4696120000,2993.4,1990,숙박,자연녹지,2025
경기,가평군,상면 덕현리,4**,1,3619442,385000000,106.4,2017,숙박,자연녹지,2024
경기,가평군,상면 덕현리,402-10,12,313333,7250000,9.0,1992,숙박,자연녹지,2026
경기,가평군,상면 덕현리,5**,3,2565588,310000000,120.8,2005,제2종근린생활,계획관리,2026
경기,가평군,상면 봉수리,*,1,800256,150000000,187.4,1997,교육연구,계획관리,2025
경기,가평군,상면 봉수리,2**,2,909112,395000000,434.5,1996,제2종근린생활,계획관리,2025
경기,가평군,상면 상동리,2**,1,588176,58700000,99.8,2001,제1종근린생활,계획관리,2026
경기,가평군,상면 연하리,2**,1,4620979,2300000000,497.7,2024,제2종근린생활,생산녹지,2026
경기,가평군,상면 연하리,3**,2,3548094,197345000,55.6,2025,제2종근린생활,계획관리,2025
경기,가평군,상면 원흥리,4**,1,1745407,1330000000,762.0,2024,숙박,계획관리,2025
경기,가평군,상면 율길리,4**,1,1341907,48000000,35.8,2025,제2종근린생활,계획관리,2025
경기,가평군,상면 임초리,2**,3,3740424,206600000,51.4,2025,제2종근린생활,보전관리,2026
경기,가평군,상면 임초리,4**,1,1758972,849900000,483.2,2006,제2종근린생활,계획관리,2024
경기,가평군,상면 태봉리,3**,1,927464,181820000,196.0,1995,제2종근린생활,계획관리,2025
경기,가평군,상면 항사리,1**,4,473363,325000000,743.0,1992,교육연구,계획관리,2025
경기,가평군,상면 항사리,2*,1,1623377,250000000,154.0,2022,제2종근린생활,계획관리,2025
경기,가평군,상면 항사리,5**,1,1894896,225000000,118.7,2009,제2종근린생활,계획관리,2025
경기,가평군,상면 항사리,7*,1,3054101,140000000,45.8,2025,제2종근린생활,계획관리,2026
경기,가평군,상면 행현리,1**,5,3502900,157000000,44.8,2024,제2종근린생활,계획관리,2026
경기,가평군,상면 행현리,3**,2,1958770,735845000,391.5,2019,제2종근린생활,계획관리,2025
경기,가평군,상면 행현리,5**,1,1596554,991460000,621.0,2014,숙박,계획관리,2025
경기,가평군,상면 행현리,6**,2,639503,70000000,109.5,2019,숙박,계획관리,2024
경기,가평군,상면 행현리,7**,2,2744182,400925000,146.1,2021,제2종근린생활,계획관리,2024
경기,가평군,상면 행현리,8*,1,1777778,80000000,45.0,,기타,계획관리,2026
