buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm
1982,868.04,일반,제1종근린생활,법인,,,"1,500,000",6,8,2026,중개거래,서울 강남구,,1**,제2종일반주거,389.4,11110,종로구,,개인,창성동
1934,272.63,일반,기타,법인,,,"420,000",28,8,2026,중개거래,서울 용산구,,4**,일반상업,71.4,11110,종로구,,개인,창신동
,21.36,집합,판매,개인,,,"45,000",28,8,2026,중개거래,서울 종로구,,270-3,일반상업,,11110,종로구,,개인,종로6가
1988,110.88,일반,제1종근린생활,개인,,,"100,000",25,8,2026,직거래,,,4**,제1종전용주거,119.5,11110,종로구,지분,개인,평창동
2007,29.8,집합,교육연구,법인,,,"54,000",24,8,2026,중개거래,서울 종로구,,24,일반상업,,11110,종로구,,개인,종로1가
,446.62,일반,제2종근린생활,개인,,,"322,000",3,8,2026,중개거래,서울 종로구,,*,일반상업,142.1,11110,종로구,,개인,종로5가
2004,35.52,집합,제2종근린생활,법인,,,"12,100",19,8,2026,직거래,,,71,준주거,,11110,종로구,,개인,내수동
2004,20.87,집합,제2종근린생활,법인,,,"8,300",19,8,2026,직거래,,,71,준주거,,11110,종로구,,개인,내수동
2004,20.87,집합,제2종근린생활,법인,,,"8,300",19,8,2026,직거래,,,71,준주거,,11110,종로구,,개인,내수동
2004,20.87,집합,제2종근린생활,법인,,,"8,300",19,8,2026,직거래,,,71,준주거,,11110,종로구,,개인,내수동
1984,17.06,집합,판매,개인,,,"11,500",15,8,2026,중개거래,서울 종로구,,60,일반상업,,11110,종로구,,개인,도렴동
1985,7.56,집합,기타,법인,,,"5,880",20,8,2026,중개거래,서울 종로구,,160,일반상업,,11110,종로구,지분,법인,당주동
1985,7.56,집합,기타,법인,,,"5,880",20,8,2026,중개거래,서울 종로구,,160,일반상업,,11110,종로구,지분,법인,당주동
1985,7.38,집합,기타,법인,,,"5,740",20,8,2026,중개거래,서울 종로구,,160,일반상업,,11110,종로구,지분,법인,당주동
